"frame_number","filename","time_seconds"
"168","frame_0168.jpg","5.566667"
"169","frame_0169.jpg","5.600000"
"170","frame_0170.jpg","5.633333"
"171","frame_0171.jpg","5.666667"
"172","frame_0172.jpg","5.700000"
"173","frame_0173.jpg","5.733333"
"174","frame_0174.jpg","5.766667"
"175","frame_0175.jpg","5.800000"
"176","frame_0176.jpg","5.833333"
"177","frame_0177.jpg","5.866667"
"178","frame_0178.jpg","5.900000"
"179","frame_0179.jpg","5.933333"
"180","frame_0180.jpg","5.966667"
"181","frame_0181.jpg","6.000000"
"182","frame_0182.jpg","6.033333"
"183","frame_0183.jpg","6.066667"
"184","frame_0184.jpg","6.100000"
"185","frame_0185.jpg","6.133333"
"186","frame_0186.jpg","6.166667"
"187","frame_0187.jpg","6.200000"
"188","frame_0188.jpg","6.233333"
"189","frame_0189.jpg","6.266667"
"190","frame_0190.jpg","6.300000"
"191","frame_0191.jpg","6.333333"
"192","frame_0192.jpg","6.366667"
"193","frame_0193.jpg","6.400000"
"194","frame_0194.jpg","6.433333"
"195","frame_0195.jpg","6.466667"
"196","frame_0196.jpg","6.500000"
"197","frame_0197.jpg","6.533333"
"198","frame_0198.jpg","6.566667"
"199","frame_0199.jpg","6.600000"
"200","frame_0200.jpg","6.633333"
"201","frame_0201.jpg","6.666667"
"202","frame_0202.jpg","6.700000"
"203","frame_0203.jpg","6.733333"
"204","frame_0204.jpg","6.766667"
"205","frame_0205.jpg","6.800000"
"206","frame_0206.jpg","6.833333"
"207","frame_0207.jpg","6.866667"
"208","frame_0208.jpg","6.900000"
"209","frame_0209.jpg","6.933333"
"210","frame_0210.jpg","6.966667"
"211","frame_0211.jpg","7.000000"
"212","frame_0212.jpg","7.033333"
"213","frame_0213.jpg","7.066667"
"214","frame_0214.jpg","7.100000"
"215","frame_0215.jpg","7.133333"
"216","frame_0216.jpg","7.166667"
"217","frame_0217.jpg","7.200000"
"218","frame_0218.jpg","7.233333"
"219","frame_0219.jpg","7.266667"
"220","frame_0220.jpg","7.300000"
"221","frame_0221.jpg","7.333333"
"222","frame_0222.jpg","7.366667"
"223","frame_0223.jpg","7.400000"
"224","frame_0224.jpg","7.433333"
"225","frame_0225.jpg","7.466667"
"226","frame_0226.jpg","7.500000"
"227","frame_0227.jpg","7.533333"
"228","frame_0228.jpg","7.566667"
"229","frame_0229.jpg","7.600000"
"230","frame_0230.jpg","7.633333"
"231","frame_0231.jpg","7.666667"
"232","frame_0232.jpg","7.700000"
"233","frame_0233.jpg","7.733333"
"234","frame_0234.jpg","7.766667"
"235","frame_0235.jpg","7.800000"
"236","frame_0236.jpg","7.833333"
"237","frame_0237.jpg","7.866667"
"238","frame_0238.jpg","7.900000"
"239","frame_0239.jpg","7.933333"
"240","frame_0240.jpg","7.966667"
"241","frame_0241.jpg","8.000000"
"242","frame_0242.jpg","8.033333"
"243","frame_0243.jpg","8.066667"
"244","frame_0244.jpg","8.100000"
"245","frame_0245.jpg","8.133333"
"246","frame_0246.jpg","8.166667"
"247","frame_0247.jpg","8.200000"
"248","frame_0248.jpg","8.233333"
"249","frame_0249.jpg","8.266667"
"250","frame_0250.jpg","8.300000"
"251","frame_0251.jpg","8.333333"
"252","frame_0252.jpg","8.366667"
"253","frame_0253.jpg","8.400000"
"254","frame_0254.jpg","8.433333"
"255","frame_0255.jpg","8.466667"
"256","frame_0256.jpg","8.500000"
"257","frame_0257.jpg","8.533333"
"258","frame_0258.jpg","8.566667"
"259","frame_0259.jpg","8.600000"
"260","frame_0260.jpg","8.633333"
"261","frame_0261.jpg","8.666667"
"262","frame_0262.jpg","8.700000"
"263","frame_0263.jpg","8.733333"
"264","frame_0264.jpg","8.766667"
"265","frame_0265.jpg","8.800000"
"266","frame_0266.jpg","8.833333"
"267","frame_0267.jpg","8.866667"
"268","frame_0268.jpg","8.900000"
"269","frame_0269.jpg","8.933333"
"270","frame_0270.jpg","8.966667"
"271","frame_0271.jpg","9.000000"
"272","frame_0272.jpg","9.033333"
"273","frame_0273.jpg","9.066667"
"274","frame_0274.jpg","9.100000"
"275","frame_0275.jpg","9.133333"
"276","frame_0276.jpg","9.166667"
"277","frame_0277.jpg","9.200000"
"278","frame_0278.jpg","9.233333"
"279","frame_0279.jpg","9.266667"
"280","frame_0280.jpg","9.300000"
"281","frame_0281.jpg","9.333333"
"282","frame_0282.jpg","9.366667"
"283","frame_0283.jpg","9.400000"
"284","frame_0284.jpg","9.433333"
"285","frame_0285.jpg","9.466667"
"286","frame_0286.jpg","9.500000"
"287","frame_0287.jpg","9.533333"
"288","frame_0288.jpg","9.566667"
"289","frame_0289.jpg","9.600000"
"290","frame_0290.jpg","9.633333"
"291","frame_0291.jpg","9.666667"
"292","frame_0292.jpg","9.700000"
"293","frame_0293.jpg","9.733333"
"294","frame_0294.jpg","9.766667"
"295","frame_0295.jpg","9.800000"
"296","frame_0296.jpg","9.833333"
"297","frame_0297.jpg","9.866667"
"298","frame_0298.jpg","9.900000"
"299","frame_0299.jpg","9.933333"
"300","frame_0300.jpg","9.966667"
"301","frame_0301.jpg","10.000000"
"302","frame_0302.jpg","10.033333"
"303","frame_0303.jpg","10.066667"
"304","frame_0304.jpg","10.100000"
"305","frame_0305.jpg","10.133333"
"306","frame_0306.jpg","10.166667"
"307","frame_0307.jpg","10.200000"
"308","frame_0308.jpg","10.233333"
"309","frame_0309.jpg","10.266667"
"310","frame_0310.jpg","10.300000"
"311","frame_0311.jpg","10.333333"
"312","frame_0312.jpg","10.366667"
"313","frame_0313.jpg","10.400000"
"314","frame_0314.jpg","10.433333"
"315","frame_0315.jpg","10.466667"
"316","frame_0316.jpg","10.500000"
"317","frame_0317.jpg","10.533333"
"318","frame_0318.jpg","10.566667"
"319","frame_0319.jpg","10.600000"
"320","frame_0320.jpg","10.633333"
